#first line for register, following lines for login
true,user,password,65,82,68,64,84,72,39,96,8,96,72,85,11,12,80
true,user,password,27,83,94,92,15,79,28,100,1435,35,59,106,198,48,156
true,user,password,92,100,76,96,116,100,103,83,52,756,62,316,66,612,651
true,user,password,16,80,63,68,11,76,35,104,547,86,58,96,156,15,82
true,user,password,7,71,80,71,11,72,35,92,632,58,58,109,157,92,182
true,user,password,3,80,63,68,80,68,31,92,361,109,62,83,3,18,79
false,user,password,10000,20000,10000,41005,30000,4440,20000,44000,10120,80005,78005,70039,200400,64001,1000
false,user,somethin,27,88,11,80,84,16,27,80,2545,18,90,111,17,113,75
false,user,passwordd,11,76,64,60,88,72,96,56,52,564,142,65,89,42,31,782,43
true,user,password,0,87,60,52,11,60,23,84,517,81,61,72,152,15,95
false,user,123456,189,184,180,160,128,111,254,285,287,672,409
